<<<<<<< HEAD
County_FIPS,County_Name,State,UG Population,Perc_UG_Total
001,Accomack County, Virginia,1065,0.00217881
003,Albemarle County, Virginia,9633,0.019707487
005,Alleghany County, Virginia,384,0.000785599
007,Amelia County, Virginia,251,0.000513504
009,Amherst County, Virginia,1702,0.003482004
011,Appomattox County, Virginia,590,0.00120704
013,Arlington County, Virginia,7412,0.015163697
015,Augusta County, Virginia,1691,0.0034595
017,Bath County, Virginia,122,0.000249591
019,Bedford County, Virginia,2384,0.00487726
021,Bland County, Virginia,218,0.000445991
023,Botetourt County, Virginia,932,0.001906714
025,Brunswick County, Virginia,676,0.001382982
027,Buchanan County, Virginia,696,0.001423898
029,Buckingham County, Virginia,510,0.001043374
031,Campbell County, Virginia,2077,0.00424919
033,Caroline County, Virginia,812,0.001661215
035,Carroll County, Virginia,556,0.001137482
036,Charles City County, Virginia,140,0.000286416
037,Charlotte County, Virginia,292,0.000597383
041,Chesterfield County, Virginia,16792,0.034353589
043,Clarke County, Virginia,443,0.000906303
045,Craig County, Virginia,102,0.000208675
047,Culpeper County, Virginia,1717,0.003512691
049,Cumberland County, Virginia,157,0.000321195
051,Dickenson County, Virginia,466,0.000953357
053,Dinwiddie County, Virginia,1696,0.003469729
057,Essex County, Virginia,318,0.000650574
059,Fairfax County, Virginia,61829,0.126491666
061,Fauquier County, Virginia,3161,0.006466871
063,Floyd County, Virginia,349,0.000713995
065,Fluvanna County, Virginia,865,0.001769644
067,Franklin County, Virginia,2912,0.005957459
069,Frederick County, Virginia,3057,0.006254104
071,Giles County, Virginia,440,0.000900166
073,Gloucester County, Virginia,1438,0.002941905
075,Goochland County, Virginia,506,0.00103519
077,Grayson County, Virginia,417,0.000853111
079,Greene County, Virginia,449,0.000918578
081,Greensville County, Virginia,370,0.000756957
083,Halifax County, Virginia,766,0.001567106
085,Hanover County, Virginia,5682,0.01162441
087,Henrico County, Virginia,15110,0.030912502
089,Henry County, Virginia,1725,0.003529058
091,Highland County, Virginia,20,4.09166E-05
093,Isle of Wight County, Virginia,1617,0.003308108
095,James City County, Virginia,3045,0.006229554
097,King and Queen County, Virginia,175,0.00035802
099,King George County, Virginia,865,0.001769644
101,King William County, Virginia,679,0.001389119
103,Lancaster County, Virginia,198,0.000405074
105,Lee County, Virginia,778,0.001591656
107,Loudoun County, Virginia,19466,0.03982414
109,Louisa County, Virginia,1019,0.002084701
111,Lunenburg County, Virginia,372,0.000761049
113,Madison County, Virginia,279,0.000570787
115,Mathews County, Virginia,101,0.000206629
117,Mecklenburg County, Virginia,820,0.001677581
119,Middlesex County, Virginia,377,0.000771278
121,Montgomery County, Virginia,24637,0.050403131
125,Nelson County, Virginia,588,0.001202948
127,New Kent County, Virginia,565,0.001155894
131,Northampton County, Virginia,217,0.000443945
133,Northumberland County, Virginia,317,0.000648528
