"County_Name","ID","Gender","Race","ACT_Score","HS_GPA","HS_Type","College_Type","PostHS_Plan","FirstGen","PellElig","County_FIPS","State"
"Accomack ",1,2,3,23,2.45,1,3,3,1,1,"001"," Virginia"
"Accomack ",2,2,4,21,3.62,1,1,1,2,1,"001"," Virginia"
"Accomack ",3,1,3,16,3.21,2,3,2,2,1,"001"," Virginia"
"Accomack ",4,1,1,22,2.15,1,1,1,2,2,"001"," Virginia"
"Accomack ",5,1,1,17,3.73,1,3,2,1,1,"001"," Virginia"
"Accomack ",6,2,4,18,3.13,1,3,2,2,2,"001"," Virginia"
"Accomack ",7,1,1,19,1.91,1,1,1,1,2,"001"," Virginia"
"Accomack ",8,1,1,19,3.43,1,3,1,2,2,"001"," Virginia"
"Accomack ",9,2,1,15,3.72,1,1,2,1,2,"001"," Virginia"
"Accomack ",10,1,4,19,3.96,1,1,1,1,2,"001"," Virginia"
"Accomack ",11,2,3,26,2.55,1,0,1,2,1,"001"," Virginia"
"Accomack ",12,2,1,24,3.81,1,3,2,2,1,"001"," Virginia"
"Accomack ",13,1,1,14,3.52,1,0,1,2,1,"001"," Virginia"
"Accomack ",14,2,2,23,3.64,3,3,3,2,2,"001"," Virginia"
"Accomack ",15,2,3,15,3.27,1,0,3,2,2,"001"," Virginia"
"Accomack ",16,1,1,23,2.83,1,0,1,1,2,"001"," Virginia"
"Accomack ",17,2,1,17,2.99,1,3,2,2,2,"001"," Virginia"
"Accomack ",18,2,1,20,3.92,1,3,4,1,2,"001"," Virginia"
"Accomack ",19,2,1,25,1.97,1,1,1,2,1,"001"," Virginia"
"Accomack ",20,1,1,18,2.09,1,0,2,1,2,"001"," Virginia"
"Accomack ",21,1,4,23,2.37,2,1,1,1,2,"001"," Virginia"
"Accomack ",22,1,1,19,2.5,1,3,1,2,2,"001"," Virginia"
"Accomack ",23,1,1,20,3.55,1,0,2,2,2,"001"," Virginia"
"Accomack ",24,2,1,19,2.18,1,3,2,2,1,"001"," Virginia"
"Accomack ",25,1,3,21,3.51,1,1,2,1,2,"001"," Virginia"
"Accomack ",26,2,4,20,4,1,1,1,2,2,"001"," Virginia"
"Accomack ",27,2,1,21,3.5,1,1,1,2,2,"001"," Virginia"
"Accomack ",28,2,3,21,2.49,1,1,1,1,1,"001"," Virginia"
"Accomack ",29,2,1,20,2.15,1,0,2,2,1,"001"," Virginia"
"Accomack ",30,1,1,21,2.08,1,1,3,2,1,"001"," Virginia"
"Accomack ",31,2,1,27,3.38,1,1,1,2,2,"001"," Virginia"
"Accomack ",32,1,1,20,3.65,1,1,3,1,1,"001"," Virginia"
"Accomack ",33,2,1,23,1.93,1,3,1,1,2,"001"," Virginia"
"Accomack ",34,1,3,25,2.65,1,2,1,2,2,"001"," Virginia"
"Accomack ",35,2,1,25,3.11,1,1,1,2,2,"001"," Virginia"
"Accomack ",36,1,1,20,3.73,1,3,1,2,2,"001"," Virginia"
"Accomack ",37,2,1,22,2.28,1,0,1,2,1,"001"," Virginia"
"Accomack ",38,2,3,21,3.14,1,3,1,2,1,"001"," Virginia"
"Accomack ",39,1,1,17,2.31,1,0,2,2,1,"001"," Virginia"
"Accomack ",40,2,4,26,3.36,1,3,2,2,2,"001"," Virginia"
"Accomack ",41,2,3,25,3.07,1,1,2,1,2,"001"," Virginia"
"Accomack ",42,2,4,19,3.07,3,2,1,2,2,"001"," Virginia"
"Accomack ",43,2,2,16,2.9,1,1,1,1,2,"001"," Virginia"
"Accomack ",44,1,4,17,2.91,1,1,2,2,2,"001"," Virginia"
"Accomack ",45,2,1,19,2.26,1,1,1,2,2,"001"," Virginia"
"Accomack ",46,1,1,22,1.95,2,1,1,1,2,"001"," Virginia"
"Accomack ",47,2,1,24,2.85,1,1,1,2,2,"001"," Virginia"
"Accomack ",48,2,1,25,2.64,3,3,2,2,2,"001"," Virginia"
"Accomack ",49,2,4,20,3.36,1,3,1,2,2,"001"," Virginia"
"Accomack ",50,2,1,26,2.68,3,0,3,1,2,"001"," Virginia"
"Accomack ",51,2,1,19,2.15,1,1,2,2,1,"001"," Virginia"
"Accomack ",52,2,2,18,1.77,1,2,3,1,2,"001"," Virginia"
"Accomack ",53,2,1,18,2.38,1,3,1,2,1,"001"," Virginia"
"Accomack ",54,2,4,23,3.76,1,1,1,1,2,"001"," Virginia"
"Albemarle ",55,1,4,22,3.48,1,1,4,2,1,"003"," Virginia"
"Albemarle ",56,2,1,19,3.44,1,2,1,1,1,"003"," Virginia"
"Albemarle ",57,1,1,21,3.33,1,1,1,2,2,"003"," Virginia"
"Albemarle ",58,1,1,22,1.77,2,1,1,2,1,"003"," Virginia"
"Albemarle ",59,2,3,23,2.74,3,1,2,1,1,"003"," Virginia"
"Albemarle ",60,2,1,18,3.1,2,1,1,1,1,"003"," Virginia"
"Albemarle ",61,1,1,20,1.99,1,1,1,2,2,"003"," Virginia"
"Albemarle ",62,1,1,20,1.8,1,1,1,1,2,"003"," Virginia"
"Albemarle ",63,2,1,25,3.4,1,1,3,1,2,"003"," Virginia"
"Albemarle ",64,2,2,17,3.93,1,3,1,2,2,"003"," Virginia"
"Albemarle ",65,1,1,18,2.9,1,0,4,2,1,"003"," Virginia"
"Albemarle ",66,2,1,22,3.62,1,1,1,1,2,"003"," Virginia"
"Albemarle ",67,1,1,21,2.83,1,1,2,2,1,"003"," Virginia"
"Albemarle ",68,1,1,26,3.23,1,1,1,2,2,"003"," Virginia"
"Albemarle ",69,1,4,17,2.32,1,2,1,1,2,"003"," Virginia"
"Albemarle ",70,2,1,20,1.93,1,2,1,2,1,"003"," Virginia"
"Albemarle ",71,1,1,18,2.71,1,1,1,2,2,"003"," Virginia"
"Albemarle ",72,1,1,18,2.23,1,3,2,2,2,"003"," Virginia"
"Albemarle ",73,2,2,21,2.45,1,1,1,2,1,"003"," Virginia"
"Albemarle ",74,1,1,19,2.8,1,3,1,2,2,"003"," Virginia"
"Albemarle ",75,2,3,18,3.76,1,1,1,1,2,"003"," Virginia"
"Albemarle ",76,2,4,19,2.78,1,1,1,1,1,"003"," Virginia"
"Albemarle ",77,2,3,22,2.15,2,3,1,1,2,"003"," Virginia"
"Albemarle ",78,2,1,23,1.75,1,1,3,2,2,"003"," Virginia"
"Albemarle ",79,2,4,24,2.61,1,3,1,2,2,"003"," Virginia"
"Albemarle ",80,2,3,22,1.82,1,3,1,2,1,"003"," Virginia"
"Albemarle ",81,1,1,19,2.65,1,1,1,1,2,"003"," Virginia"
"Albemarle ",82,2,1,23,1.85,1,0,1,1,1,"003"," Virginia"
"Albemarle ",83,1,4,22,2.48,1,0,1,2,2,"003"," Virginia"
"Albemarle ",84,1,1,22,2.48,2,3,2,2,2,"003"," Virginia"
"Albemarle ",85,1,1,20,3.71,1,1,1,2,1,"003"," Virginia"
"Albemarle ",86,1,1,20,3.72,1,1,2,2,2,"003"," Virginia"
"Albemarle ",87,2,2,23,2.24,1,1,2,2,1,"003"," Virginia"
"Albemarle ",88,1,1,18,2.1,1,1,1,2,2,"003"," Virginia"
"Albemarle ",89,2,1,23,2.15,1,1,1,2,2,"003"," Virginia"
"Albemarle ",90,1,3,22,2.79,1,1,2,2,1,"003"," Virginia"
"Albemarle ",91,1,1,18,2.82,1,0,1,2,2,"003"," Virginia"
"Albemarle ",92,1,1,19,3.81,1,1,1,2,1,"003"," Virginia"
"Albemarle ",93,1,2,14,3.41,1,1,1,2,2,"003"," Virginia"
"Albemarle ",94,2,1,18,1.76,3,3,1,2,1,"003"," Virginia"
"Albemarle ",95,1,4,22,2.64,1,1,1,2,1,"003"," Virginia"
"Albemarle ",96,2,1,16,2.03,1,1,1,1,2,"003"," Virginia"
"Albemarle ",97,2,3,18,2.6,1,1,1,1,2,"003"," Virginia"
"Albemarle ",98,1,1,22,1.9,1,1,1,2,2,"003"," Virginia"
"Albemarle ",99,2,1,26,2.1,1,3,3,2,2,"003"," Virginia"
"Albemarle ",100,1,1,20,2,1,0,1,1,2,"003"," Virginia"
"Albemarle ",101,1,1,21,2.67,1,1,1,2,2,"003"," Virginia"
"Albemarle ",102,2,1,20,3.13,1,3,1,2,2,"003"," Virginia"
"Albemarle ",103,2,4,19,1.78,1,1,1,2,2,"003"," Virginia"
"Albemarle ",104,2,1,17,3.02,1,1,2,1,2,"003"," Virginia"
"Albemarle ",105,2,1,25,3.49,1,1,1,1,1,"003"," Virginia"
"Albemarle ",106,2,4,22,2.36,1,1,1,1,1,"003"," Virginia"
"Albemarle ",107,1,4,21,3.8,1,1,1,2,1,"003"," Virginia"
"Albemarle ",108,1,3,24,2.87,1,1,2,2,1,"003"," Virginia"
"Albemarle ",109,2,1,21,3.26,1,1,1,2,1,"003"," Virginia"
"Albemarle ",110,2,1,19,2.91,3,3,1,1,2,"003"," Virginia"
"Albemarle ",111,1,2,25,2.69,1,3,1,1,2,"003"," Virginia"
"Albemarle ",112,1,4,20,2.77,1,1,1,1,2,"003"," Virginia"
"Albemarle ",113,1,1,19,2.61,1,3,1,2,1,"003"," Virginia"
"Albemarle ",114,2,1,15,2.26,2,0,3,2,2,"003"," Virginia"
"Albemarle ",115,1,1,19,2.43,1,1,1,2,2,"003"," Virginia"
"Albemarle ",116,1,3,20,3.73,1,3,2,2,2,"003"," Virginia"
"Albemarle ",117,1,1,22,2.39,1,1,2,2,2,"003"," Virginia"
"Albemarle ",118,2,3,28,3.57,1,3,2,2,1,"003"," Virginia"
"Albemarle ",119,1,1,20,2.14,2,1,1,2,2,"003"," Virginia"
"Albemarle ",120,1,1,23,2.1,1,1,3,1,2,"003"," Virginia"
"Albemarle ",121,2,1,25,2.83,1,3,1,2,1,"003"," Virginia"
"Albemarle ",122,1,1,21,3.19,1,1,1,2,1,"003"," Virginia"
"Albemarle ",123,1,1,18,3.47,1,1,1,2,2,"003"," Virginia"
"Albemarle ",124,2,3,20,2.93,1,1,2,2,1,"003"," Virginia"
"Albemarle ",125,1,4,19,1.78,2,1,1,2,2,"003"," Virginia"
"Albemarle ",126,2,1,24,2.23,1,1,1,2,2,"003"," Virginia"
"Albemarle ",127,1,1,18,3.38,1,3,1,2,1,"003"," Virginia"
"Albemarle ",128,1,1,23,2.42,2,3,1,2,2,"003"," Virginia"
"Albemarle ",129,2,3,25,3.51,2,1,1,2,2,"003"," Virginia"
"Albemarle ",130,1,4,18,1.79,1,1,1,1,1,"003"," Virginia"
"Albemarle ",131,2,4,22,2.89,1,3,1,1,2,"003"," Virginia"
"Albemarle ",132,1,3,21,3.81,1,3,1,1,1,"003"," Virginia"
"Albemarle ",133,2,2,22,3.8,1,1,2,1,2,"003"," Virginia"
"Albemarle ",134,1,1,18,3.02,1,1,1,2,2,"003"," Virginia"
"Albemarle ",135,2,4,22,3.11,1,1,1,2,2,"003"," Virginia"
"Albemarle ",136,2,1,17,3.88,1,1,1,2,1,"003"," Virginia"
"Albemarle ",137,1,1,23,3.15,1,0,2,1,2,"003"," Virginia"
"Albemarle ",138,2,1,19,3.89,2,3,1,1,2,"003"," Virginia"
"Albemarle ",139,1,2,16,2.43,1,3,1,2,2,"003"," Virginia"
"Albemarle ",140,2,1,20,2.48,1,1,1,1,2,"003"," Virginia"
"Albemarle ",141,2,1,19,2.32,2,0,1,2,1,"003"," Virginia"
"Albemarle ",142,2,4,21,3.61,1,0,1,2,2,"003"," Virginia"
"Albemarle ",143,1,3,27,2.71,1,3,4,2,1,"003"," Virginia"
"Albemarle ",144,2,3,19,2.7,1,1,1,2,2,"003"," Virginia"
"Albemarle ",145,2,3,22,2.41,2,3,1,1,2,"003"," Virginia"
"Albemarle ",146,1,2,19,2.33,1,1,1,1,1,"003"," Virginia"
"Albemarle ",147,1,1,18,2.62,2,1,1,2,1,"003"," Virginia"
"Albemarle ",148,2,1,22,3.43,1,1,1,2,2,"003"," Virginia"
"Albemarle ",149,1,1,18,2.25,1,3,1,1,2,"003"," Virginia"
"Albemarle ",150,1,4,22,2.77,1,0,1,1,2,"003"," Virginia"
"Albemarle ",151,2,4,18,3.48,1,1,1,2,1,"003"," Virginia"
"Albemarle ",152,2,1,20,3.78,1,1,2,2,1,"003"," Virginia"
"Albemarle ",153,2,1,24,2.91,1,3,1,2,2,"003"," Virginia"
"Albemarle ",154,1,1,18,3.07,1,1,2,2,2,"003"," Virginia"
"Albemarle ",155,1,2,16,2.67,1,3,2,2,1,"003"," Virginia"
"Albemarle ",156,1,1,13,2.74,2,1,3,2,2,"003"," Virginia"
"Albemarle ",157,1,2,15,2.98,1,0,1,1,2,"003"," Virginia"
"Albemarle ",158,2,2,22,3.05,1,1,2,2,2,"003"," Virginia"
"Albemarle ",159,1,1,14,2.36,1,2,1,2,2,"003"," Virginia"
"Albemarle ",160,2,4,18,3.13,1,0,1,2,2,"003"," Virginia"
"Albemarle ",161,2,2,19,1.84,1,0,3,1,1,"003"," Virginia"
"Albemarle ",162,2,1,20,3.86,1,3,1,2,1,"003"," Virginia"
"Albemarle ",163,1,4,22,2.14,1,0,1,1,1,"003"," Virginia"
"Albemarle ",164,1,1,18,3.79,1,1,4,1,2,"003"," Virginia"
"Albemarle ",165,1,4,21,3.48,1,2,1,2,2,"003"," Virginia"
"Albemarle ",166,2,3,21,2.78,2,1,2,2,2,"003"," Virginia"
"Albemarle ",167,1,2,18,3.64,1,1,3,1,2,"003"," Virginia"
"Albemarle ",168,2,4,22,2.23,1,3,1,2,2,"003"," Virginia"
"Albemarle ",169,2,1,21,1.76,2,1,3,2,1,"003"," Virginia"
"Albemarle ",170,1,1,24,3.26,1,3,1,2,2,"003"," Virginia"
"Albemarle ",171,1,1,22,2.37,1,1,1,1,1,"003"," Virginia"
"Albemarle ",172,2,1,15,2.12,1,1,3,1,1,"003"," Virginia"
"Albemarle ",173,1,1,24,3.29,1,1,2,1,2,"003"," Virginia"
"Albemarle ",174,1,1,22,1.9,2,3,4,2,1,"003"," Virginia"
"Albemarle ",175,2,3,21,3.4,1,0,1,2,2,"003"," Virginia"
"Albemarle ",176,2,2,20,1.96,1,1,1,2,1,"003"," Virginia"
"Albemarle ",177,2,1,19,2.62,1,3,2,1,1,"003"," Virginia"
"Albemarle ",178,2,1,23,3.62,1,1,3,2,1,"003"," Virginia"
"Albemarle ",179,1,1,20,3.6,1,1,3,1,2,"003"," Virginia"
"Albemarle ",180,1,1,17,2.86,2,2,1,2,2,"003"," Virginia"
"Albemarle ",181,2,1,23,2.25,1,1,1,1,1,"003"," Virginia"
"Albemarle ",182,2,1,18,3.69,1,1,1,2,2,"003"," Virginia"
"Albemarle ",183,1,1,21,2.91,1,1,2,1,2,"003"," Virginia"
"Albemarle ",184,2,1,23,2.65,1,1,2,2,2,"003"," Virginia"
"Albemarle ",185,2,4,20,3.63,1,1,3,1,2,"003"," Virginia"
"Albemarle ",186,2,1,21,3.53,1,3,1,2,1,"003"," Virginia"
"Albemarle ",187,2,1,25,2.38,1,1,1,1,2,"003"," Virginia"
"Albemarle ",188,2,1,20,3.17,1,1,1,2,2,"003"," Virginia"
"Albemarle ",189,1,1,25,3.11,1,3,1,1,1,"003"," Virginia"
"Albemarle ",190,2,1,21,2.03,1,1,2,2,2,"003"," Virginia"
"Albemarle ",191,1,1,19,1.92,1,0,1,2,1,"003"," Virginia"
"Albemarle ",192,2,1,22,1.83,1,1,2,2,1,"003"," Virginia"
"Albemarle ",193,1,3,22,3.57,1,1,1,1,1,"003"," Virginia"
"Albemarle ",194,1,1,16,2.5,2,3,1,2,1,"003"," Virginia"
"Albemarle ",195,1,1,20,1.88,1,3,1,2,2,"003"," Virginia"
"Albemarle ",196,1,1,21,3.76,2,3,1,1,2,"003"," Virginia"
"Albemarle ",197,2,1,21,3.88,1,3,1,2,1,"003"," Virginia"
"Albemarle ",198,2,1,21,2.89,1,3,4,2,2,"003"," Virginia"
"Albemarle ",199,2,3,18,2.17,1,1,1,2,2,"003"," Virginia"
"Albemarle ",200,2,1,18,3.36,1,2,1,2,2,"003"," Virginia"
"Albemarle ",201,2,3,23,3.04,2,0,3,1,2,"003"," Virginia"
"Albemarle ",202,2,3,22,3.62,1,3,3,2,2,"003"," Virginia"
"Albemarle ",203,2,2,27,1.92,1,1,2,2,1,"003"," Virginia"
"Albemarle ",204,1,1,18,3.7,1,3,3,2,2,"003"," Virginia"
"Albemarle ",205,1,1,20,2.76,3,3,2,2,2,"003"," Virginia"
"Albemarle ",206,1,1,24,3.58,1,3,1,2,2,"003"," Virginia"
"Albemarle ",207,1,3,20,2.36,1,3,1,1,1,"003"," Virginia"
"Albemarle ",208,1,4,18,2.52,1,1,1,2,2,"003"," Virginia"
"Albemarle ",209,2,4,23,2.22,1,1,2,1,1,"003"," Virginia"
"Albemarle ",210,1,3,15,2.77,1,1,1,2,2,"003"," Virginia"
"Albemarle ",211,2,1,23,2.07,1,3,3,1,2,"003"," Virginia"
"Albemarle ",212,1,4,18,3.52,2,3,1,1,2,"003"," Virginia"
"Albemarle ",213,2,4,23,3.1,1,1,1,2,1,"003"," Virginia"
"Albemarle ",214,1,1,25,3,1,3,1,2,1,"003"," Virginia"
"Albemarle ",215,1,1,20,3.88,1,1,3,2,2,"003"," Virginia"
"Albemarle ",216,2,1,23,3.42,1,2,1,1,2,"003"," Virginia"
"Albemarle ",217,1,1,22,3.66,1,3,2,2,2,"003"," Virginia"
"Albemarle ",218,2,4,28,2.99,1,1,1,2,2,"003"," Virginia"
"Albemarle ",219,2,1,23,2.55,1,1,1,2,1,"003"," Virginia"
"Albemarle ",220,1,3,26,2.22,1,2,1,1,2,"003"," Virginia"
"Albemarle ",221,2,1,20,1.78,1,1,2,1,2,"003"," Virginia"
"Albemarle ",222,2,1,19,3.19,1,3,3,1,2,"003"," Virginia"
"Albemarle ",223,1,4,17,2.62,2,0,1,2,2,"003"," Virginia"
"Albemarle ",224,1,1,23,3.07,1,2,1,2,1,"003"," Virginia"
"Albemarle ",225,2,1,19,3.58,1,1,1,1,1,"003"," Virginia"
"Albemarle ",226,1,1,20,2.45,1,1,1,2,2,"003"," Virginia"
"Albemarle ",227,1,1,17,2.88,1,3,1,2,2,"003"," Virginia"
"Albemarle ",228,2,3,20,3.5,1,1,1,2,2,"003"," Virginia"
"Albemarle ",229,1,4,23,3,1,3,1,2,2,"003"," Virginia"
"Albemarle ",230,2,3,19,3.03,1,3,3,2,2,"003"," Virginia"
"Albemarle ",231,2,1,16,2.66,1,3,2,2,2,"003"," Virginia"
"Albemarle ",232,2,1,21,1.78,1,1,2,2,2,"003"," Virginia"
"Albemarle ",233,1,2,28,1.94,1,1,1,2,2,"003"," Virginia"
"Albemarle ",234,1,1,21,2.77,1,0,1,2,1,"003"," Virginia"
"Albemarle ",235,1,2,22,3.45,1,1,2,2,1,"003"," Virginia"
"Albemarle ",236,1,1,19,3.06,1,3,1,2,1,"003"," Virginia"
"Albemarle ",237,1,3,25,2.96,1,1,1,1,1,"003"," Virginia"
"Albemarle ",238,2,1,18,3.47,1,1,2,2,2,"003"," Virginia"
"Albemarle ",239,1,2,23,1.75,1,3,3,2,2,"003"," Virginia"
"Albemarle ",240,1,4,19,2.26,2,1,1,2,1,"003"," Virginia"
"Albemarle ",241,2,4,20,3.34,1,0,1,2,2,"003"," Virginia"
"Albemarle ",242,2,1,21,2.8,1,1,2,1,2,"003"," Virginia"
"Albemarle ",243,2,1,22,2.62,1,0,1,2,2,"003"," Virginia"
"Albemarle ",244,1,1,17,2.64,1,1,1,2,2,"003"," Virginia"
"Albemarle ",245,2,4,24,3.38,1,0,2,1,2,"003"," Virginia"
"Albemarle ",246,2,3,23,2.6,1,3,1,2,2,"003"," Virginia"
"Albemarle ",247,2,1,18,3.08,1,1,1,1,1,"003"," Virginia"
"Albemarle ",248,2,4,24,2.79,1,1,1,2,2,"003"," Virginia"
"Albemarle ",249,2,1,18,2.26,1,0,1,2,2,"003"," Virginia"
"Albemarle ",250,1,2,17,3.56,1,1,2,2,2,"003"," Virginia"
"Albemarle ",251,2,1,21,2.31,1,1,1,2,2,"003"," Virginia"
"Albemarle ",252,2,1,28,3.7,1,1,1,1,2,"003"," Virginia"
"Albemarle ",253,2,1,15,2.51,1,1,2,1,1,"003"," Virginia"
"Albemarle ",254,1,1,20,1.77,1,1,1,1,1,"003"," Virginia"
"Albemarle ",255,2,1,21,2.2,1,2,1,2,2,"003"," Virginia"
"Albemarle ",256,2,1,25,2.07,1,1,3,2,2,"003"," Virginia"
"Albemarle ",257,2,1,18,1.84,1,1,1,1,2,"003"," Virginia"
"Albemarle ",258,1,1,19,2.67,1,1,2,1,2,"003"," Virginia"
"Albemarle ",259,1,2,22,3.92,1,3,1,1,2,"003"," Virginia"
"Albemarle ",260,2,1,19,2.8,2,3,1,2,1,"003"," Virginia"
"Albemarle ",261,2,1,21,3.32,1,3,2,2,2,"003"," Virginia"
"Albemarle ",262,1,2,18,2.51,3,3,1,2,2,"003"," Virginia"
"Albemarle ",263,2,3,21,3.32,2,1,3,2,2,"003"," Virginia"
"Albemarle ",264,1,1,27,3.56,2,3,1,2,2,"003"," Virginia"
"Albemarle ",265,2,2,26,1.95,1,1,1,2,2,"003"," Virginia"
"Albemarle ",266,1,1,28,2.14,3,3,1,1,2,"003"," Virginia"
"Albemarle ",267,2,3,19,3.73,1,3,3,2,2,"003"," Virginia"
"Albemarle ",268,2,4,18,2.96,1,3,1,2,2,"003"," Virginia"
"Albemarle ",269,2,1,19,2.59,1,1,1,1,2,"003"," Virginia"
"Albemarle ",270,2,1,20,1.77,2,0,1,2,2,"003"," Virginia"
"Albemarle ",271,1,2,22,2.57,1,0,1,2,2,"003"," Virginia"
"Albemarle ",272,1,3,22,3.09,1,3,4,2,2,"003"," Virginia"
"Albemarle ",273,1,2,17,2.16,1,1,3,2,1,"003"," Virginia"
"Albemarle ",274,1,2,27,3.26,2,1,2,2,2,"003"," Virginia"
"Albemarle ",275,2,1,25,3.89,1,1,2,2,1,"003"," Virginia"
"Albemarle ",276,1,3,16,3.53,1,3,1,2,1,"003"," Virginia"
"Albemarle ",277,1,2,23,2.49,1,1,1,1,2,"003"," Virginia"
"Albemarle ",278,1,4,19,3.06,1,0,1,2,2,"003"," Virginia"
"Albemarle ",279,2,1,15,1.75,1,1,2,2,2,"003"," Virginia"
"Albemarle ",280,2,1,19,2.66,1,1,1,1,2,"003"," Virginia"
"Albemarle ",281,1,3,22,3.45,1,1,1,2,2,"003"," Virginia"
"Albemarle ",282,1,4,20,3.57,1,1,2,2,2,"003"," Virginia"
"Albemarle ",283,2,1,21,3.49,1,3,3,1,1,"003"," Virginia"
"Albemarle ",284,2,1,23,3.44,1,3,1,2,2,"003"," Virginia"
"Albemarle ",285,1,1,23,3.05,1,1,3,1,1,"003"," Virginia"
"Albemarle ",286,2,3,24,3.14,1,1,1,1,2,"003"," Virginia"
"Albemarle ",287,2,1,22,3.26,3,1,1,2,2,"003"," Virginia"
"Albemarle ",288,1,3,25,3.25,2,1,3,2,2,"003"," Virginia"
"Albemarle ",289,1,1,16,3.38,2,1,4,2,2,"003"," Virginia"
"Albemarle ",290,1,1,25,2.22,1,1,1,2,1,"003"," Virginia"
"Albemarle ",291,2,1,25,2.39,2,1,2,1,1,"003"," Virginia"
"Albemarle ",292,2,3,23,2.43,2,1,1,1,1,"003"," Virginia"
"Albemarle ",293,1,1,10,3.08,2,1,1,2,2,"003"," Virginia"
"Albemarle ",294,1,1,23,3.97,1,3,1,2,2,"003"," Virginia"
"Albemarle ",295,1,2,16,3.68,2,0,1,2,2,"003"," Virginia"
"Albemarle ",296,2,3,26,2.51,1,3,1,1,2,"003"," Virginia"
"Albemarle ",297,1,1,20,1.76,1,3,1,1,2,"003"," Virginia"
"Albemarle ",298,1,1,17,3.25,2,1,2,2,2,"003"," Virginia"
"Albemarle ",299,2,4,20,3.96,1,1,1,1,2,"003"," Virginia"
"Albemarle ",300,2,1,22,3.15,2,1,1,1,2,"003"," Virginia"
"Albemarle ",301,2,1,23,3.55,1,3,2,1,1,"003"," Virginia"
"Albemarle ",302,1,1,25,2.54,1,3,1,2,2,"003"," Virginia"
"Albemarle ",303,2,4,17,3.02,1,1,1,1,2,"003"," Virginia"
"Albemarle ",304,2,1,22,2.58,1,2,1,2,2,"003"," Virginia"
"Albemarle ",305,1,2,16,1.96,3,0,3,1,2,"003"," Virginia"
"Albemarle ",306,1,1,20,3.64,1,1,3,1,2,"003"," Virginia"
"Albemarle ",307,1,1,17,1.98,1,1,1,1,1,"003"," Virginia"
"Albemarle ",308,1,1,25,3.91,1,1,1,1,2,"003"," Virginia"
"Albemarle ",309,1,1,16,2.17,1,3,2,2,2,"003"," Virginia"
"Albemarle ",310,2,1,20,3.43,1,3,1,2,2,"003"," Virginia"
"Albemarle ",311,2,1,19,2.65,1,3,2,2,2,"003"," Virginia"
"Albemarle ",312,1,3,26,2.63,3,1,2,1,1,"003"," Virginia"
"Albemarle ",313,1,1,22,3.07,2,3,1,2,2,"003"," Virginia"
"Albemarle ",314,1,1,20,3.67,1,3,2,2,2,"003"," Virginia"
"Albemarle ",315,1,1,21,2.57,1,3,1,2,1,"003"," Virginia"
